Rank,Track,Artist1,Artist2,Album,Release,Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
1,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Kacey Musgraves,Zach Bryan,2023-08-25,89,227195,0.429,0.453,0,-7.746,1,0.0459,0.554,0.000002,0.102,0.155,77.639
2,Fast Car,Luke Combs,,Gettin' Old,2023-03-24,84,265493,0.712,0.603,8,-5.52,1,0.0262,0.186,0,0.115,0.67,97.994
3,World on Fire,Nate Smith,,NATE SMITH (DELUXE),2023-04-28,76,189986,0.461,0.887,11,-4.871,0,0.0429,0.000219,0,0.104,0.411,95.964
4,Last Night,Morgan Wallen,,3 Songs At A Time Sampler,2023-03-03,83,163854,0.492,0.673,6,-5.431,1,0.0347,0.413,0,0.137,0.488,203.812
5,I Can Feel It,Kane Brown,,I Can Feel It,2023-09-21,68,163600,0.529,0.866,3,-5.816,0,0.0452,0.00281,0.00526,0.0287,0.55,116.004
6,Memory Lane,Old Dominion,,Memory Lane,2023-10-06,71,172480,0.647,0.774,6,-5.136,1,0.0362,0.0185,0.0000147,0.0849,0.376,118.968
7,Lipstick On A Beer Can,Cody Bradley,,Lipstick On A Beer Can,2024-03-22,46,207360,0.603,0.688,7,-6.659,1,0.0298,0.0447,0,0.137,0.295,105.013
8,Looking for You,Chris Young,,Looking for You + All Dogs Go to Heaven,2023-01-13,62,179973,0.53,0.874,7,-3.594,1,0.043,0.0485,0,0.153,0.537,81.034
9,Mamaw's House,Thomas Rhett,Morgan Wallen,Mamaw's House,2023-09-28,68,187269,0.559,0.704,2,-7.686,1,0.0338,0.0177,0,0.0821,0.422,89.985
10,Need A Favor,Jelly Roll,,Need A Favor,2023-06-02,77,197400,0.502,0.771,6,-4.246,1,0.032,0.0123,0.0000182,0.0801,0.557,157.978
11,Religiously,Bailey Zimmerman,,Religiously,2023-01-11,80,179294,0.431,0.837,9,-5.067,1,0.0432,0.259,0,0.0879,0.648,170.041
12,Heart For A Heart,Maya Lane,,Heart For A Heart,2024-04-18,44,194914,0.558,0.449,0,-9.874,0,0.0277,0.518,0,0.0853,0.385,111.478
13,The Painter,Cody Johnson,,The Painter,2023-11-03,75,211413,0.512,0.709,2,-5.767,1,0.0327,0.0423,0.0000043,0.107,0.261,97.971
14,Heartbroken (feat. Jessie Murph & Polo G),Diplo,Jessie Murph & Polo G,Heartbroken (feat. Jessie Murph & Polo G),2023-07-28,69,204325,0.67,0.589,2,-5.693,1,0.0873,0.379,0,0.0942,0.628,146.978
